"Campaign name","Campaign ID","Ad set name","Ad set ID","Ad name","Ad ID",Day,Gender,Age,Text,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (USD)","Cost per result",Starts,Ends,"Reporting starts","Reporting ends"
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 3 - First Apartment",120247312792450327,"3 Prints on bed",120247312792580327,2026-06-26,male,65+,"Their first apartment deserves more than bare walls.

Pick the street they grew up on. The city they moved to. The place that means something. We'll handle the rest — framed, ready to hang, ships in days.",not_delivering,ad,1,1,1,Incremental,"Website purchases",,0.11,,2026-06-18,Ongoing,2026-06-26,2026-06-26
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 3 - First Apartment",120247312792450327,"3 Prints on bed",120247312792580327,2026-06-26,male,55-64,"Their first apartment deserves more than bare walls.

Pick the street they grew up on. The city they moved to. The place that means something. We'll handle the rest — framed, ready to hang, ships in days.",not_delivering,ad,2,2,1,Incremental,"Website purchases",,0.07,,2026-06-18,Ongoing,2026-06-26,2026-06-26
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 3 - First Apartment",120247312792450327,"3 Prints on bed",120247312792580327,2026-06-26,female,65+,"Their first apartment deserves more than bare walls.

Pick the street they grew up on. The city they moved to. The place that means something. We'll handle the rest — framed, ready to hang, ships in days.",not_delivering,ad,2,2,1,Incremental,"Website purchases",,0.1,,2026-06-18,Ongoing,2026-06-26,2026-06-26
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 3 - First Apartment",120247312792450327,"3 Prints on bed",120247312792580327,2026-06-26,female,55-64,"Their first apartment deserves more than bare walls.

Pick the street they grew up on. The city they moved to. The place that means something. We'll handle the rest — framed, ready to hang, ships in days.",not_delivering,ad,1,1,1,Incremental,"Website purchases",,0.02,,2026-06-18,Ongoing,2026-06-26,2026-06-26
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 3 - First Apartment",120247312792450327,"3 Prints on bed",120247312792580327,2026-06-26,male,25-34,"Their first apartment deserves more than bare walls.

Pick the street they grew up on. The city they moved to. The place that means something. We'll handle the rest — framed, ready to hang, ships in days.",not_delivering,ad,4,4,1,Incremental,"Website purchases",,0.1,,2026-06-18,Ongoing,2026-06-26,2026-06-26
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 3 - First Apartment",120247312792450327,"3 Prints on bed",120247312792580327,2026-06-26,male,65+,"Their first apartment deserves more than bare walls.

Pick the street they grew up on. The city they moved to. The place that means something. We'll handle the rest — framed, ready to hang, ships in days.",not_delivering,ad,2,2,1,Incremental,"Website purchases",,0.01,,2026-06-18,Ongoing,2026-06-26,2026-06-26
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 3 - First Apartment",120247312792450327,"3 Prints on bed",120247312792580327,2026-06-26,female,45-54,"Their first apartment deserves more than bare walls.

Pick the street they grew up on. The city they moved to. The place that means something. We'll handle the rest — framed, ready to hang, ships in days.",not_delivering,ad,2,2,1,Incremental,"Website purchases",,0,,2026-06-18,Ongoing,2026-06-26,2026-06-26
"LittleData - Retargeting Duplicate",120247312851600327,"Retargeting Testing",120247312851610327,"Good quality ad",120247312851590327,2026-06-26,male,65+,"No gamble here! 🎨 Every print is shipped on high-quality, heavyweight fine art paper with archival inks, framed in real wood. Free shipping, guaranteed.",not_delivering,ad,17,17,1,Incremental,"Website purchases",,0.4,,2026-06-18,Ongoing,2026-06-26,2026-06-26
"LittleData - Prospecting CBO Duplicate",120247312792380327,"Concept 3 - First Apartment",120247312792450327,"3 Prints on bed",120247312792580327,2026-06-26,female,35-44,"Their first apartment deserves more than bare walls.

Pick the street they grew up on. The city they moved to. The place that means something. We'll handle the rest — framed, ready to hang, ships in days.",not_delivering,ad,2,2,1,Incremental,"Website purchases",,0,,2026-06-18,Ongoing,2026-06-26,2026-06-26
"LittleData - Retargeting Duplicate",120247312851600327,"Retargeting Testing",120247312851610327,"Good quality ad",120247312851590327,2026-06-26,female,25-34,"No gamble here! 🎨 Every print is shipped on high-quality, heavyweight fine art paper with archival inks, framed in real wood. Free shipping, guaranteed.",not_delivering,ad,1,1,1,Incremental,"Website purchases",,0.05,,2026-06-18,Ongoing,2026-06-26,2026-06-26
